"","tip_percent","hour"
"269",24.39,20
"270",26.25,22
"271",23.71,20
"272",14.29,20
"273",21.18,22
"274",11.94,21
"275",16.67,23
"276",20.8,8
"277",21.43,14
"278",31.67,19
"279",23.25,4
"280",29,21
"281",15.38,17
"282",22.06,19
"283",21.2,20
"284",26.33,12
"285",22.29,16
"286",13.02,20
"287",21.04,2
"288",14.29,18
"289",16.11,8
"290",12.5,22
"291",21.5,10
"292",22.22,7
"293",22.44,21
"294",27.5,10
"295",21.1,7
"296",20.88,20
"297",21.5,6
"298",13.33,9
"299",20.52,12
"300",28.18,10
"301",21.3,10
"302",22.4,0
"303",22.78,3
"304",21.25,8
"305",0,20
"306",44.44,15
"307",27.16,10
"308",14.31,8
"309",24.33,22
"310",22.5,21
"311",23.85,0
"312",22.4,16
"313",21.14,23
"314",24.49,7
"315",21.88,15
"316",20,1
"317",20,18
"318",6.25,17
"319",21.93,23
"320",21.88,19
"321",25,0
"322",15.79,17
"323",24.03,8
"324",21.68,9
"325",22,12
"326",28,0
"327",31.43,18
"328",25,4
"329",6.45,15
"330",21.67,10
"331",24.08,20
"332",25.38,18
"333",21.28,13
"334",22.74,1
"335",24.33,21
"336",23.2,11
"337",22,11
"338",26.86,22
"339",23,19
"340",10.75,10
"341",50,5
"342",22.22,17
"343",21.88,7
"344",33.68,2
"345",25.51,12
"346",11.11,1
"347",22.56,18
"348",16,10
"349",23.85,0
"350",21.45,13
"351",18.18,9
"352",21.14,8
"353",25,0
"354",11.76,15
"355",22.22,19
"356",23.97,11
"357",21,13
"358",9.05,8
"359",16.67,17
"360",7.14,22
"361",22.63,20
"362",28.57,14
"363",26.54,12
"364",15.38,14
"365",12.5,6
"366",22.5,16
"367",21.36,12
"368",12.22,23
"369",11.11,22
"370",17.31,7
"371",12.9,13
"372",18.86,17
"373",27.86,11
"374",36.36,8
"375",21.1,15
"376",23.71,21
"377",25,21
"378",31.25,19
"379",23.25,20
"380",19.05,21
"381",39.75,22
"382",100,11
"383",22,8
"384",13.33,6
"385",20.94,9
"386",16.13,20
"387",22.4,15
"388",17.78,6
"389",15.38,8
"390",0,23
"391",38.1,17
"392",22.91,11
"393",13.56,14
"394",28,15
"395",22.4,16
"396",21.78,18
"397",31.03,11
"398",21.06,23
"399",21.39,6
"400",6.49,11
"401",22.35,17
"402",22.5,0
"403",23.06,21
"404",19.51,22
"405",25.08,7
"406",21.6,14
"407",20.91,12
"408",13.33,16
"409",23.43,19
"410",22.91,15
"411",29.94,13
"412",29,21
"413",33.18,0
"414",20.91,7
"415",12.5,19
"416",0.09,7
"417",28.4,19
"418",34.44,11
"419",21.71,17
"420",23.97,10
"421",24,0
"422",22.91,18
"423",23,15
"424",22.73,14
"425",30,17
"426",24.33,3
"427",20.61,15
"428",21.88,15
"429",26.52,8
"430",29.68,16
"431",0,3
"432",20.97,18
"433",8,22
"434",21.04,22
"435",12.63,22
"436",16.67,17
"437",26.88,19
"438",0,22
"439",21.56,20
"440",22,23
"441",21.32,1
"442",12.07,8
"443",28.75,17
"444",23.12,23
"445",28.57,8
"446",32.22,1
"447",22.67,14
"448",27.29,7
"449",16.67,8
"450",15.79,22
"451",27,11
"452",21.11,14
"453",33.08,13
"454",23.04,16
"455",26.88,18
"456",32.09,12
"457",23.25,23
"458",10.3,0
"459",0,16
"460",9.09,8
"461",26.52,19
"462",27.22,9
"463",26.84,8
"464",12.5,8
"465",25,16
"466",20.7,10
"467",21.19,20
"468",26.55,16
"469",24,8
"470",16.67,10
"471",23.12,2
"472",10.91,13
"473",17.14,8
"474",23.06,20
"475",28.33,19
"476",21.45,13
"477",22.46,17
"478",8.7,14
"479",9.52,22
"480",21.3,8
"481",18.46,18
"482",5.58,21
"483",23.06,15
"484",38,13
"485",22.48,0
"486",10.9,0
"487",26.05,14
"488",21.07,15
"489",9.09,20
"490",28.57,9
"491",31.21,1
"492",24.24,18
"493",26.5,21
"494",20.41,20
"495",22.38,3
"496",27.22,13
"497",20.86,11
"498",20.76,4
"499",24.33,23
"500",22.46,14
"501",9.09,16
"502",28,19
"503",11.54,3
"504",20,8
"505",21.3,20
"506",23.57,20
"507",23.43,16
"508",23,8
"509",25,23
"510",7.41,23
"511",28.42,21
"512",21.11,18
"513",12.12,0
"514",21.78,9
"515",28.18,17
"516",22.57,19
"517",22.26,2
"518",0,2
"519",15.38,10
"520",23.06,20
"521",12,16
"522",21.58,23
"523",23.25,22
"524",18.75,13
"525",21.39,1
"526",13.46,16
"527",21.85,22
"528",20.86,10
"529",12.89,20
"530",23.5,19
"531",18.18,21
"532",24.81,21
"533",31.25,20
"534",25.38,17
"535",33.33,21
"536",22.91,10
"537",17.7,9
"538",21.73,1
"539",22.78,22
"540",0,8
"541",22.63,20
"542",21.14,13
"543",30,18
"544",22.29,20
"545",6.25,1
"546",0,23
"547",22,21
"548",9.52,20
"549",22.74,0
"550",28.89,14
"551",21.28,15
"552",22.94,1
"553",22.6,1
"554",20,20
"555",21.93,21
"556",15.38,18
"557",22,11
"558",21.78,10
"559",23.25,22
"560",22.32,17
"561",21.2,9
"562",18.18,11
"563",18.18,23
"564",16.67,18
"565",32.5,0
"566",23.12,23
"567",29.71,21
"568",21.68,14
"569",22.14,15
"570",27.73,12
"571",22.89,21
"572",28,11
"573",27.2,19
"574",20.37,15
"575",14.63,15
"576",21.68,0
"577",13.04,1
"578",13.16,7
"579",21.76,7
"580",23.2,11
"581",11.11,11
"582",21.14,12
"583",21.05,8
"584",21.02,0
"585",21.67,16
"586",10.53,14
"587",23.12,20
"588",10,10
"589",40,4
"590",28.57,22
"591",22.46,17
"592",30,8
"593",21.88,13
"594",32.82,9
"595",20.81,17
"596",23,13
"597",19.23,9
"598",6.67,2
"599",0,20
"600",17.33,0
"601",13.25,10
"602",20,7
"603",20.95,21
"604",35.2,20
"605",25.64,0
"606",29,3
"607",0,20
"608",22.27,0
"609",23.12,0
"610",20.89,17
"611",22.22,12
"612",28.33,12
"613",39.75,0
"614",24,20
"615",21.88,13
"616",30,11
"617",22.91,13
"618",16.39,15
"619",11.76,7
"620",11.11,17
"621",27.6,23
"622",16.22,9
"623",21.44,2
"624",22.26,21
"625",23.12,20
"626",22.67,17
"627",28.57,2
"628",23.75,11
"629",23.57,1
"630",8,22
"631",13.64,9
"632",12.77,16
"633",22.63,21
"634",31.92,13
"635",23.08,18
"636",23.85,2
"637",11.76,8
"638",21.76,8
"639",22.14,11
"640",21.78,9
"641",24.8,18
"642",20,13
"643",21.15,13
"644",21.36,8
"645",10.71,16
"646",21.93,23
"647",7.55,18
"648",33,23
"649",0,0
"650",20.86,17
"651",20.65,7
"652",21.5,8
"653",26.25,23
"654",21.79,18
"655",21.18,23
"656",34,23
"657",0,0
"658",28.57,10
"659",30.41,18
"660",21.89,20
"661",23.2,15
"662",22.26,1
"663",8.33,22
"664",21.86,3
"665",22.88,17
"666",15.79,1
"667",22.22,19
"668",25.78,21
"669",16,20
"670",21.88,7
"671",18.18,14
"672",21.43,8
"673",21.05,16
"674",0,22
"675",30.91,2
"676",21.03,9
"677",20,20
"678",10.53,19
"679",30,23
"680",10.42,17
"681",17.24,20
"682",21,13
"683",22.46,14
"684",37.2,18
"685",14.63,2
"686",30.91,22
"687",30,0
"688",20.97,14
"689",12.5,20
"690",0,20
"691",10.59,14
"692",10.53,1
"693",20,18
"694",22.67,11
"695",20.42,10
"696",24.67,18
"697",30.23,18
"698",11.33,19
"699",15.38,8
"700",18.18,21
"701",25.71,7
"702",22.22,14
"703",24.17,20
"704",21.16,3
"705",26.55,18
"706",28,0
"707",22.6,20
"708",20.56,8
"709",21.19,16
"710",22,7
"711",12.82,15
"712",11.76,11
"713",22.95,1
"714",22.44,16
"715",23.25,23
"716",8.5,9
"717",34.91,17
"718",21.27,21
"719",28.89,8
"720",10.53,19
"721",10,19
"722",21.78,14
"723",16.19,16
"724",20,7
"725",27.06,19
"726",21.05,6
"727",0,13
"728",22.5,15
"729",24,0
"730",35.2,21
"731",21.39,14
"732",0,10
"733",16.47,13
"734",20,16
"735",27.06,12
"736",15.38,20
"737",24.15,22
"738",27.06,10
"739",24.24,20
"740",22.74,23
"741",23.47,22
"742",22.36,20
"743",29.33,18
"744",31.85,7
"745",24.8,17
"746",8,12
"747",23.27,18
"748",14.63,7
"749",20.91,9
"750",26.25,15
"751",32.4,7
"752",23.71,22
"753",10.53,9
"754",23.68,18
"755",22.22,20
"756",23.56,14
"757",21.32,0
"758",20.84,23
"759",15.38,22
"760",19.05,11
"761",22.67,7
"762",13.64,16
"763",35.29,14
"764",0,7
"765",20,11
"766",20.78,13
"767",6.67,18
"768",11.11,8
"769",26.52,8
"770",25.14,19
"771",13.33,21
"772",21,9
"773",15.79,19
"774",22.14,16
"775",21.05,12
"776",12.5,10
"777",21.76,8
"778",21.67,19
"779",18.18,11
"780",9.09,0
"781",27.29,12
"782",25.14,20
"783",22.6,21
"784",18.18,9
"785",29.09,18
"786",31.85,10
"787",21.25,10
"788",35,17
"789",8.16,20
"790",53.33,14
"791",13.33,13
"792",7.14,20
"793",14.63,19
"794",24,19
"795",23.56,13
"796",20.56,22
"797",44.44,18
"798",22.48,17
"799",12.5,22
"800",18.75,18
"801",20.69,18
"802",18,21
"803",22.91,12
"804",11.76,14
"805",27.2,2
"806",23.57,21
"807",18.18,23
"808",22,11
"809",22.5,20
"810",18.18,20
"811",21.06,23
"812",21.62,5
"813",27.41,22
"814",22.19,20
"815",13.95,21
"816",23.71,22
"817",28.57,18
"818",23.2,9
"819",22.14,14
"820",26.21,15
"821",20.67,19
"822",22.17,21
"823",28.82,12
"824",26.22,19
"825",21.5,9
"826",24.89,23
"827",32.17,0
"828",24.17,21
"829",21.52,6
"830",22.46,14
"831",25.54,19
"832",35.21,16
"833",21.49,23
"834",21.1,13
"835",15.38,14
"836",16.5,6
"837",9.23,0
"838",14.29,2
"839",12.57,17
"840",22.5,11
"841",26.43,19
"842",9.09,22
"843",28.75,20
"844",24,6
"845",26.05,17
"846",23.08,22
"847",23.33,16
"848",18.18,16
"849",10.53,15
"850",28.67,2
"851",20.63,0
"852",22.04,17
"853",13.16,16
"854",22.6,21
"855",17.5,1
"856",9.09,15
"857",10.76,16
"858",28,19
"859",16.67,20
"860",24.5,17
"861",0,10
"862",16.67,20
"863",21.43,8
"864",38.89,10
"865",28,17
"866",20.82,11
"867",22.63,21
"868",22.27,21
"869",18.42,8
"870",12.9,10
"871",21.45,15
"872",22.67,11
"873",11.54,4
"874",20.86,8
"875",8,10
"876",14.29,19
"877",11.11,12
"878",0,15
"879",23.57,23
"880",23.57,0
"881",23.08,9
"882",20.53,7
"883",21.19,11
"884",23.85,0
"885",25.56,1
"886",27.14,23
"887",23.57,22
"888",28.18,10
"889",23.06,22
"890",27.2,16
"891",21.1,10
"892",33,11
"893",22.89,3
"894",24.73,20
"895",18.18,19
"896",10.53,0
"897",23.68,6
"898",22,21
"899",20.86,10
"900",25.78,21
"901",26.5,3
"902",24.38,19
"903",26.43,15
"904",0,13
"905",22.14,14
"906",31.67,22
"907",20.92,17
"908",35,22
"909",20.83,20
"910",23.5,18
"911",21.88,13
"912",17.65,0
"913",13.33,19
"914",0,15
"915",23.25,2
"916",12.26,23
"917",9.52,18
"918",46,16
"919",21.37,21
"920",12.5,19
"921",38,16
"922",36,20
"923",23.12,20
"924",22,14
"925",11.76,21
"926",20.73,6
"927",23.74,16
"928",21.68,9
"929",23.2,8
"930",24,22
"931",16.67,16
"932",24.17,3
"933",9.09,23
"934",27.5,18
"935",10.55,13
"936",25.51,0
"937",14.36,17
"938",36.25,17
"939",29,10
"940",21.84,19
"941",22.73,9
"942",22.44,0
"943",6.82,0
"944",18.18,6
"945",28,13
"946",22.25,18
"947",14.29,17
"948",17,11
"949",21.25,16
"950",21.76,12
"951",9.62,19
"952",15.38,8
"953",23.2,7
"954",23.13,19
"955",0,15
"956",15.68,15
"957",22.4,15
"958",22.48,20
"959",32.8,20
"960",24,22
"961",23.71,20
"962",21.14,9
"963",24.73,0
"964",18.55,20
"965",21.88,8
"966",18.85,15
"967",22.91,13
"968",26.88,22
"969",21.67,11
"970",21.68,12
"971",13.79,13
"972",0,22
"973",24.73,1
"974",21.88,7
"975",20.88,14
"976",41.62,18
"977",11.33,12
"978",17.65,23
"979",23.52,9
"980",23.91,15
"981",24,1
"982",25,12
"983",27.41,23
"984",22.18,17
"985",21.33,16
"986",21.88,8
"987",22.92,18
"988",10.26,4
"989",35.83,23
"990",18.18,4
"991",13.48,20
"992",32.67,13
"993",24,21
"994",9.09,21
"995",23.06,22
"996",25,7
"997",23.2,11
"998",27.25,19
"999",12.5,12
"1000",22.41,19
"1001",18.18,0
"1002",6.06,10
"1003",16.13,19
"1004",30,6
"1005",28.18,19
"1006",20.46,8
"1007",25.6,21
"1008",23.2,18
"1009",24.14,16
"1010",11.44,1
"1011",14.58,0
"1012",22.4,17
"1013",26.55,17
"1014",21.36,14
"1015",27.43,1
"1016",22.32,4
"1017",27,13
"1018",21.88,6
"1019",23.33,5
"1020",20,18
"1021",11.11,8
"1022",20.55,11
"1023",22.48,21
"1024",17.86,5
"1025",12.12,18
"1026",27,8
"1027",18.18,5
"1028",33.43,16
"1029",21.15,8
"1030",20.86,12
"1031",25.66,12
"1032",14.29,20
"1033",24,4
"1034",7.69,3
"1035",25.14,17
"1036",22,17
"1037",20.97,15
"1038",21.23,19
"1039",21.07,12
"1040",22.63,20
"1041",22,18
"1042",21.45,14
"1043",15.8,18
"1044",22.31,14
"1045",7.55,19
"1046",21.63,19
"1047",20.91,10
"1048",18.18,19
"1049",22.17,3
"1050",27.1,0
"1051",39.82,20
"1052",21.68,14
"1053",23.2,18
"1054",29.71,20
"1055",22.63,22
"1056",23.47,21
"1057",23.33,19
"1058",14.29,16
"1059",26.67,12
"1060",21.76,8
"1061",29.33,20
"1062",23.57,21
"1063",17.29,1
"1064",27.14,23
"1065",6.09,12
"1066",15.38,10
"1067",14.29,0
"1068",30.91,20
"1069",11.11,7
"1070",13.33,21
"1071",22.26,23
"1072",10,8
"1073",22.29,12
"1074",21.76,10
"1075",35.71,16
"1076",19.05,7
"1077",14.29,14
"1078",22.31,15
"1079",5.26,9
"1080",14.29,0
"1081",20.82,15
"1082",22.48,0
"1083",22,7
"1084",21.61,20
"1085",2.78,3
"1086",27.6,21
"1087",13.51,22
"1088",50,6
"1089",21.16,17
"1090",21.36,14
"1091",20.75,12
"1092",18.89,22
"1093",23.6,16
"1094",29.5,19
"1095",8.7,15
"1096",21.68,13
"1097",22.36,0
"1098",23.33,7
"1099",22,13
"1100",11.43,21
"1101",21.88,7
"1102",24.38,18
"1103",23.71,23
"1104",12.5,22
"1105",0,11
"1106",26.67,10
"1107",22,10
"1108",11.43,22
"1109",21.43,10
"1110",21.52,7
"1111",33.65,18
"1112",19.23,8
"1113",20.54,15
"1114",0,7
"1115",22,21
"1116",25.56,23
"1117",12.5,11
"1118",24.64,1
"1119",24.29,23
"1120",11.11,20
"1121",21.53,5
"1122",21.58,6
"1123",22,13
"1124",16.67,23
"1125",22.29,17
"1126",23.71,0
"1127",25.95,18
"1128",21.2,6
"1129",27.78,18
"1130",22.36,21
"1131",20,9
"1132",22.5,8
"1133",22.48,22
"1134",22.5,17
"1135",22.63,0
"1136",22,9
"1137",26.18,15
"1138",0,19
"1139",21.6,12
"1140",32.17,1
"1141",21.06,1
"1142",21.78,11
"1143",22,12
"1144",21.39,18
"1145",21.43,9
"1146",33.9,2
"1147",9.09,1
"1148",20,8
"1149",18.18,10
"1150",21.92,21
"1151",0,2
"1152",33.33,21
"1153",20.77,9
"1154",22.46,14
"1155",22.69,16
"1156",44,11
"1157",20.59,16
"1158",21.19,10
"1159",20,21
"1160",30.77,20
"1161",21.02,23
"1162",18.46,5
"1163",16.67,19
"1164",21.25,4
"1165",34.67,3
"1166",24.57,9
"1167",23.33,22
"1168",0,1
"1169",11.21,12
"1170",21.3,12
"1171",39.11,4
"1172",9.52,17
"1173",20,14
"1174",21.45,15
"1175",20.18,8
"1176",27.05,16
"1177",8.7,2
"1178",10.89,9
"1179",33.25,20
"1180",22.26,20
"1181",22.31,9
"1182",24.12,17
"1183",20.6,21
"1184",26.55,19
"1185",16.67,12
"1186",22.6,21
"1187",21.45,13
"1188",13.33,20
"1189",20.88,19
"1190",10.53,1
"1191",6.67,22
"1192",24.67,20
"1193",0,11
"1194",27.43,16
"1195",23.97,20
"1196",21.07,19
"1197",22,7
"1198",15.76,9
"1199",23.12,22
"1200",21.28,2
"1201",20.73,16
"1202",23.79,11
"1203",20.64,14
"1204",21.24,0
"1205",15.84,10
"1206",21.1,16
"1207",23.56,15
"1208",20,16
"1209",25.14,16
"1210",21.76,10
"1211",21.11,22
"1212",32,19
"1213",21.03,9
"1214",17.39,14
"1215",21.02,2
"1216",21.68,14
"1217",14.29,12
"1218",30,18
"1219",32.26,20
"1220",23.33,18
"1221",11.9,20
"1222",16.67,18
"1223",20.78,5
"1224",22.67,8
"1225",21.79,19
"1226",21.07,13
"1227",20.9,22
"1228",22.91,8
"1229",9.09,8
"1230",29.32,12
"1231",27.6,4
"1232",16.67,20
"1233",18.18,21
"1234",22.77,18
"1235",25.2,1
"1236",33.2,6
"1237",23.56,10
"1238",26,16
"1239",22.17,20
"1240",22.73,16
"1241",30.03,17
"1242",21.58,19
"1243",16.33,8
"1244",25,21
"1245",23.25,21
"1246",23.47,23
"1247",25.54,17
"1248",21.68,15
"1249",21.15,7
"1250",14.29,18
"1251",13.79,13
"1252",21.19,10
"1253",0,16
"1254",20.65,13
"1255",31.43,17
"1256",21.76,7
"1257",21.88,13
"1258",20.88,19
"1259",0,2
"1260",33.69,10
"1261",22.08,21
"1262",12.12,22
"1263",25.83,17
"1264",20,23
"1265",22.5,13
"1266",28.18,13
"1267",23.25,3
"1268",30.63,19
"1269",16,19
"1270",24,7
"1271",16.67,18
"1272",31.37,23
"1273",24.73,1
"1274",4.88,17
"1275",27.22,7
"1276",20.91,13
"1277",23.79,18
"1278",20.54,14
"1279",18.57,18
"1280",22.74,20
"1281",20.42,15
"1282",36.36,20
"1283",13.33,13
"1284",22.46,18
"1285",26.78,11
"1286",34,11
"1287",27.78,17
"1288",29.59,13
"1289",8.33,23
"1290",18.18,19
"1291",21.85,4
"1292",15,11
"1293",22.46,13
"1294",27.06,14
"1295",23.47,3
"1296",21.68,6
"1297",25,19
"1298",13.33,19
"1299",16.19,18
"1300",16.47,11
"1301",3.77,1
"1302",21.33,14
"1303",22,9
"1304",22.14,6
"1305",22.89,20
"1306",13.33,11
"1307",28.33,6
"1308",13.64,21
"1309",8,3
"1310",22.33,19
"1311",24,18
"1312",36.36,23
"1313",18.62,14
"1314",24.33,21
"1315",21.23,10
"1316",21.07,12
"1317",28.57,14
"1318",23.2,19
"1319",17.39,9
"1320",21.52,11
"1321",29.33,8
"1322",33.39,0
"1323",17,21
"1324",22.67,11
"1325",10.81,11
"1326",28.57,4
"1327",17.14,14
"1328",23.56,13
"1329",20.41,22
"1330",11.18,5
"1331",25.51,22
"1332",29,15
"1333",25.2,0
"1334",26.25,16
"1335",21,8
"1336",26.67,13
"1337",21.43,14
"1338",12,15
"1339",19.9,0
"1340",23.56,8
"1341",33.18,4
"1342",16.83,8
"1343",22.36,0
"1344",13.33,19
"1345",21.3,7
"1346",21.45,12
"1347",26.67,20
"1348",14.29,7
"1349",15.38,18
"1350",21,10
"1351",22.63,2
"1352",16.67,7
"1353",20.75,3
"1354",24.14,18
"1355",30.63,17
"1356",20.63,15
"1357",23,15
"1358",21,14
"1359",17.39,20
"1360",12.29,6
"1361",25,15
"1362",23.08,21
"1363",23.13,19
"1364",27.61,22
"1365",0,15
"1366",22.44,16
"1367",22.5,18
"1368",17.86,23
"1369",22.89,20
"1370",13.33,7
"1371",11.76,23
"1372",9.43,11
"1373",20.67,18
"1374",22.46,7
"1375",22,23
"1376",27.5,14
"1377",22.25,19
"1378",23.12,20
"1379",17.39,14
"1380",14.29,2
"1381",24,9
"1382",22.4,12
"1383",20,16
"1384",33.33,20
"1385",28.1,0
"1386",11.11,7
"1387",15.38,23
"1388",10.71,3
"1389",22.73,14
"1390",22.29,19
"1391",20.86,9
"1392",21.05,17
"1393",20.67,15
"1394",22.4,19
"1395",24.12,19
"1396",16.67,18
"1397",20,16
"1398",12.59,10
"1399",22.5,10
"1400",26.36,19
"1401",21.88,13
"1402",8.93,14
"1403",24.12,17
"1404",23.56,15
"1405",21.62,0
"1406",34.33,21
"1407",11.11,12
"1408",0,4
"1409",22.29,12
"1410",24,11
"1411",26.55,19
"1412",21.68,15
"1413",36.5,1
"1414",24.33,3
"1415",22.31,15
"1416",30,20
"1417",26.86,7
"1418",24.81,7
"1419",24.33,0
"1420",22.27,21
"1421",21.1,14
"1422",22.29,9
"1423",36.44,20
"1424",2.86,17
"1425",20,0
"1426",26.54,9
"1427",15,16
"1428",21.1,10
"1429",21.52,13
"1430",8,1
"1431",24.33,21
"1432",21.25,16
"1433",15.38,17
"1434",24.12,17
"1435",31.37,17
"1436",21.68,14
"1437",21.33,12
"1438",22.29,18
"1439",24.73,22
"1440",23,20
"1441",13.04,10
"1442",13.6,19
"1443",23.89,18
"1444",23.43,19
"1445",22,8
"1446",26.67,23
"1447",11.76,9
"1448",25.6,11
"1449",28.1,1
"1450",12.77,18
"1451",23.85,21
"1452",21.68,14
"1453",35.94,13
"1454",23.85,20
"1455",21.28,8
"1456",20.7,15
"1457",5.77,16
"1458",22.67,16
"1459",22.29,12
"1460",20.77,9
"1461",25.83,17
"1462",21.72,1
"1463",0,14
"1464",27,20
"1465",22.18,18
"1466",21.78,15
"1467",20,18
"1468",36.5,3
"1469",21.78,19
"1470",38.1,10
"1471",33.43,15
"1472",18.18,19
"1473",26.59,0
"1474",21.58,0
"1475",25,18
"1476",20.68,11
"1477",21.89,18
"1478",22,2
"1479",20.9,21
"1480",20,10
"1481",0,8
"1482",13.33,1
"1483",23.75,16
"1484",23.85,14
"1485",24.17,2
"1486",22.44,4
"1487",20,11
"1488",20.76,3
"1489",23.25,20
"1490",27.29,15
"1491",23.2,7
"1492",15.87,0
"1493",21.19,10
"1494",26.55,19
"1495",25.91,12
"1496",21.52,9
"1497",34.4,17
"1498",22.74,3
"1499",13.33,22
"1500",23.89,18
"1501",22.73,9
"1502",11.32,9
"1503",32.29,18
"1504",15.38,17
"1505",0,7
"1506",20,17
"1507",16,21
"1508",36.67,12
"1509",10.53,17
"1510",21.28,10
"1511",12.9,19
"1512",12.5,10
"1513",21.53,22
"1514",34.33,1
"1515",37.14,18
"1516",17.65,22
"1517",30.78,15
"1518",21.72,21
"1519",10.53,22
"1520",6.06,14
"1521",11.76,9
"1522",25.78,21
"1523",29.47,19
"1524",16,15
"1525",22.89,20
"1526",22.94,21
"1527",23.51,23
"1528",25.38,17
"1529",22.91,14
"1530",28.89,14
"1531",22.29,7
"1532",29.33,18
"1533",22.31,7
"1534",21.03,12
"1535",23.79,18
"1536",26.43,21
"1537",24,23
"1538",3.5,19
"1539",25.83,15
"1540",25.78,23
"1541",21.67,19
"1542",22.67,8
"1543",11.76,12
