"","tip_percent","hour"
"1",23.75,8
"2",23.71,20
"3",20.94,18
"4",23.27,19
"5",24.39,18
"6",21.28,9
"7",22.29,15
"8",50,18
"9",27.22,7
"10",18.57,10
"11",23.71,2
"12",28.54,12
"13",22.13,12
"14",21.06,23
"15",24.33,0
"16",10,22
"17",22,15
"18",22.74,3
"19",21.25,12
"20",35.11,19
"21",21.93,22
"22",20.88,8
"23",22.78,1
"24",22.73,16
"25",20.08,18
"26",25.2,20
"27",20.65,21
"28",21.28,15
"29",27.73,11
"30",21.47,21
"31",21.68,1
"32",26,13
"33",22.13,10
"34",20.7,10
"35",15,11
"36",22.44,21
"37",22.13,10
"38",31.6,15
"39",27.3,19
"40",10.53,9
"41",0,0
"42",27.7,18
"43",24,22
"44",24.54,13
"45",23.71,21
"46",23.77,7
"47",20.86,15
"48",23.47,22
"49",14.29,9
"50",34.36,10
"51",22.5,7
"52",29.41,12
"53",24.62,18
"54",22.67,12
"55",23.06,0
"56",23.06,1
"57",22.73,7
"58",42.11,4
"59",21.19,8
"60",23.6,20
"61",22.5,13
"62",36.36,23
"63",22.73,10
"64",21.03,10
"65",12.5,16
"66",21.6,11
"67",5.26,9
"68",12.5,5
"69",22,11
"70",22.26,20
"71",36.5,2
"72",21.49,22
"73",11.11,12
"74",0,13
"75",0,20
"76",25.9,15
"77",25,1
"78",23.33,20
"79",16.26,22
"80",15.74,23
"81",28.33,3
"82",14.71,17
"83",25.75,11
"84",10,22
"85",13.6,20
"86",10,7
"87",6.9,11
"88",20.76,12
"89",21.3,13
"90",21.39,2
"91",27.5,1
"92",5.13,11
"93",23.33,12
"94",22.67,15
"95",10.53,20
"96",50,18
"97",31.2,3
"98",27,14
"99",22.46,7
"100",11.36,9
"101",22.5,22
"102",19.45,0
"103",21.43,11
"104",8.33,2
"105",21.03,15
"106",28,16
"107",14.29,8
"108",22.77,19
"109",22.31,9
"110",21,16
"111",22.08,23
"112",26,17
"113",13.79,0
"114",0,18
"115",34.36,13
"116",28.33,12
"117",10,11
"118",21.57,18
"119",14.29,23
"120",21.35,0
"121",11.11,13
"122",20,15
"123",21.67,18
"124",11.11,0
"125",20.86,13
"126",9.52,21
"127",20,22
"128",22.5,12
"129",26.67,13
"130",17.27,15
"131",21.39,9
"132",14.29,6
"133",21.15,18
"134",15.79,23
"135",21.56,22
"136",18.33,22
"137",29.05,19
"138",15.38,5
"139",21.47,4
"140",22.74,22
"141",22.91,13
"142",22.12,20
"143",20.62,16
"144",22.08,0
"145",22.38,0
"146",21.43,21
"147",21.88,7
"148",22.63,20
"149",41.67,16
"150",23.2,14
"151",20.64,1
"152",28.57,12
"153",23.47,20
"154",11.11,10
"155",15,19
"156",16.67,5
"157",21.72,20
"158",23.33,18
"159",27.29,13
"160",21.5,7
"161",31.66,14
"162",20.38,14
"163",23.57,20
"164",11.43,9
"165",25,7
"166",22,15
"167",32.67,8
"168",8.7,14
"169",22.4,8
"170",27.33,12
"171",25,21
"172",30.33,21
"173",27.67,23
"174",12.9,13
"175",32.22,20
"176",6.67,12
"177",11.14,7
"178",16.67,12
"179",23,12
"180",21.11,12
"181",24.73,0
"182",16.5,16
"183",25.75,19
"184",17.14,6
"185",21.11,7
"186",0,20
"187",0,5
"188",21.58,6
"189",0.06,11
"190",23.26,16
"191",27.5,6
"192",32.5,21
"193",21.3,12
"194",23.27,16
"195",13.79,14
"196",26,23
"197",25.54,19
"198",22.36,21
"199",21.52,12
"200",15,9
"201",27,15
"202",23.33,19
"203",19.57,19
"204",10,18
"205",27.69,11
"206",14.71,16
"207",21.67,10
"208",31.04,22
"209",24.73,20
"210",28,17
"211",22.92,19
"212",24.17,19
"213",11.43,22
"214",22.14,17
"215",4.08,0
"216",23.85,17
"217",23.89,19
"218",27.86,10
"219",11.54,7
"220",21.39,15
"221",30.65,13
"222",15.38,23
"223",36.79,11
"224",27.29,15
"225",16.5,7
"226",29.84,19
"227",23.85,23
"228",21.39,19
"229",20.88,7
"230",0,21
"231",21.5,16
"232",20.81,20
"233",33.6,19
"234",18.75,18
"235",30.93,19
"236",25.54,16
"237",0,7
"238",20.84,16
"239",21.88,14
"240",16,14
"241",28.33,15
"242",9.84,10
"243",24.67,16
"244",27.2,18
"245",22.22,21
"246",26.43,15
"247",22.5,19
"248",3.03,18
"249",35.33,18
"250",10.53,15
"251",13.79,9
"252",21.19,17
"253",6.25,7
"254",22.5,9
"255",7.73,1
"256",21.78,16
"257",22.94,1
"258",32.22,16
"259",22.13,15
"260",26.67,3
"261",27,13
"262",8.45,13
"263",21.24,21
"264",29.56,11
"265",22.88,19
"266",10.71,9
"267",22.08,23
"268",22,18
