"","X","CABS","group1_number","group1_rate","group2_number","group2_rate","group3_number","group3_rate","group4_number","group4_rate","group5_number","group5_rate","group6_number","group6_rate","group7_number","group7_rate","group8_number","group8_rate"
"1",1,"Yellow",3858,0.03858,717,0.00717,4968,0.04968,9622,0.09622,10087,0.10087,49387,0.49387,13686,0.13686,7675,0.07675
"2",2,"Green",14425,0.14425,1115,0.01115,4342,0.04342,7180,0.0718,7458,0.07458,41670,0.4167,14168,0.14168,9642,0.09642
