"","X","Days","group1_rate","group2_rate","group3_rate","group4_rate","group5_rate","group6_rate","group7_rate","group8_rate"
"1",1,"Weekday",0.091092102,0.008924613,0.045989375,0.085234416,0.087661795,0.444544576,0.145722654,0.090830469
"2",2,"Weekend",0.092126981,0.009679022,0.047786164,0.081310193,0.087864365,0.478967357,0.125042065,0.077223851
